,yoru_data_name,boris_data_name,movie_idex,accuracy,precision,recall,f1_score,movie_total_frames
0,cs-h_movie_0013 23-10-27 15-14-00.csv,courtship_movies_id13.csv,movie1,0.8412635579130711,0.7329394387001477,0.6400516795865633,0.6833534646031119,12631
1,cs-h_movie_0014 23-10-27 15-28-17.csv,courtship_movies_id14.csv,movie2,0.9684688472210544,0.8062869973463972,0.9491443721378645,0.871902803108853,11893
2,cs-h_movie_0015 23-10-27 15-40-40.csv,courtship_movies_id15.csv,movie3,0.9386900901963097,0.7438397819020657,0.9257195914577531,0.8248728017700776,16963
3,cs-h_movie_0016 23-10-27 15-54-23.csv,courtship_movies_id16.csv,movie4,0.9615804144952127,0.7870761170135352,0.9693804034582133,0.8687674929271632,8251
4,cs-h_movie_0017 23-10-27 16-01-24.csv,courtship_movies_id17.csv,movie5,0.9451917285685605,0.6234158117079058,0.9024336768252577,0.7374140469010491,9962
5,cs-h_movie_0018 23-10-27 16-15-23.csv,courtship_movies_id18.csv,movie6,0.9657034836618957,0.7628865979381443,0.9591346153846154,0.8498280253860434,11109
6,cs-h_movie_0019 23-10-27 16-26-54.csv,courtship_movies_id19.csv,movie7,0.9665288839600766,0.835005574136009,0.9640551011622901,0.8949018721798164,9919
7,cs-h_movie_0020 23-10-27 16-38-01.csv,courtship_movies_id20.csv,movie8,0.8116438356164384,0.4753577106518283,0.6822857142857143,0.5603275899412686,3212
8,total,total,total,0.9332737669764117,0.7373195966873888,0.8999973016001511,0.8105769239047149,83940
